,EC_Multi_layer_left_pli_delta
0,0.3417296912413645
1,0.005964929027476117
2,0.03407602190999394
3,0.09971630438727679
4,0.026146768239495015
5,0.418156418736569
6,0.03407602190999391
7,0.011410440058114403
8,0.011410440058114509
9,0.40520791034293807
10,0.003983862644328923
11,0.10420857509036285
12,0.09043014970252503
13,0.2337221284846892
14,0.0010722176217641242
15,0.07488865915968797
16,0.26462479562144364
17,0.05284549663997232
18,0.3417296912413645
19,0.004892711405711959
20,0.152365393988208
21,0.01805887525027422
22,0.052067779043459265
23,0.26933329267502143
24,0.6839386054974391
25,1.0
26,0.2337221284846892
27,0.0765130127982575
28,0.06347821910157371
29,0.0010722176217642045
30,0.39379747028482365
31,0.18575564467630315
32,0.34172969124136443
33,0.03103947964520696
34,0.035611164190332216
35,0.223646728551966
36,0.001072217621764223
37,0.033390250688095015
38,0.13658234555792165
39,0.0031376191453231085
40,0.046674242776529686
41,0.014317489908292236
42,0.030130630883823985
43,0.011657935340231148
44,0.028525798761744457
45,0.17507058256825186
46,0.08822301432018977
47,0.0631072266865694
48,0.005007992141318523
49,0.22107189587362458
50,0.07913559935452116
51,0.18114317926213636
52,0.0668911385834096
53,0.10681928920220485
54,0.013893053897493846
55,0.42256946186469735
56,0.2592376816126515
57,0.2193258278659928
58,0.5025231433349728
59,0.02852579876174453
60,0.1493416642274436
61,0.3604673370065848
62,0.09541693734515393
63,0.1750705825682519
64,0.6028152597359191
65,0.039515683099328465
66,0.013893053897493794
67,0.06310722668656933
68,0.09002543411066101
69,1.0
70,0.3604673370065852
71,0.03361434522219034
72,0.005901337877137867
73,0.005007992141318701
74,0.016371352606159024
75,0.03180151503469266
76,0.09325212514768376
77,0.2129446942968288
78,0.03850486471965482
79,0.24974643988067158
80,0.4143001290147831
81,0.1855678218694957
82,0.0796891975925625
83,0.03850486471965508
84,0.03353379090306291
85,0.5336032513418211
86,0.03353379090306294
87,0.07905979710761915
88,0.3267210304310153
89,0.07757426496039897
90,0.00844197821943108
91,0.005835814347411102
92,0.3656735938497288
93,0.07324514220799935
94,0.00856889042576771
95,0.008568890425767698
96,0.02343316709187724
97,0.0036170830991520747
98,0.6418384670745739
99,0.022813328502399102
100,0.008441978219431035
101,0.00986496182877925
102,0.3656735938497288
103,0.4221180245549036
104,0.009891562201887565
105,0.365673593849729
106,0.06434525334998771
107,0.11657417073712699
108,0.03705285343546951
109,0.03780715260650324
110,0.0623871367418844
111,0.026977506701873256
112,0.27616487322484506
113,0.27616487322484495
114,0.15435741506773978
115,0.06390986674951692
116,0.5737020058806371
117,0.08855515864691213
118,0.2761648732248452
119,0.01595908057230258
120,0.7552223564120228
121,0.2003019726879675
122,0.008441978219431077
123,0.11947325338399602
124,0.023529360039661187
125,0.24216995740552022
126,0.3187929691883423
127,0.023086102910947287
128,0.013549250078135342
129,0.14779548162547174
130,0.2761648732248452
131,1.0
132,0.0002434519392169874
133,0.2918618702967172
134,1.0
135,0.00024318563306515838
136,0.2918618702967172
137,0.04122274932582776
138,0.01190036758169344
139,0.04077397150095367
140,0.013615582623817185
141,0.4014841505192479
142,7.842033091124151e-05
143,0.29186187029671723
144,8.051878608412873e-06
145,2.051731402787469e-05
146,0.29186187029671723
147,0.0002203432967252549
148,0.12780260718339428
149,0.10501558521271195
150,0.1171779150650363
151,0.29186187029671734
152,7.105433830697197e-05
153,0.04122274932582764
154,0.1171779150650363
155,2.2644283147523056e-05
156,0.004452188084298373
157,0.3598126233685458
158,0.14124061249905387
159,7.758561652644339e-05
160,2.5237940799179256e-05
161,0.13096852318883342
162,7.029802833513843e-05
163,0.2918618702967174
164,0.03822471812789204
165,0.29186187029671723
166,0.2918618702967173
167,0.03730070796134216
168,0.0004783186745313195
169,7.097661369560001e-05
170,0.0006846594332238159
171,0.038224718127892174
172,0.00163885290683959
173,2.350036350060585e-06
174,0.04219858753765896
175,0.3300865884246091
176,0.4158714434125277
177,0.0010995276834311416
178,0.17358479213959696
179,0.11270155715632851
180,0.1503453370679452
181,0.3034433466686041
182,0.2419444046949128
183,0.36151878050161945
184,0.11878619281941337
185,0.016944153598750466
186,0.09129053031173254
187,0.040808187793261445
188,0.03300324118964361
189,0.12633315838795858
190,0.32857544123874716
191,0.04562129223591664
192,0.03300324118964358
193,0.12619342257300056
194,0.5525165864303941
195,0.0010995276834311139
196,0.0010995276834310588
197,0.17104214925055494
198,0.30469856706284726
199,0.021589325436394458
200,0.11878619281941338
201,0.7131636538354958
202,0.1997451225332335
203,0.06275416236793423
204,0.11878619281941337
205,0.06183494921143661
206,0.004014764372873277
207,0.005114292056304367
208,0.24194440469491288
209,0.007804946603617897
210,0.3494511632636821
211,1.0
212,0.061834949211436584
213,0.3615187805016194
214,0.0468693592494417
215,0.03300324118964388
216,0.3615187805016194
217,0.0030414123490497226
218,0.6692443594747873
219,0.011105271951024578
220,0.304377727499262
221,1.0
222,0.30437772749926206
223,0.10494831945018265
224,0.015840374187590656
225,0.005865557756242355
226,0.0294316579458176
227,0.015840374187590642
228,0.3126179262433345
229,0.30987119332864377
230,0.039028351190575336
231,0.05204183077958325
232,0.11474270493488718
233,0.08535954848077344
234,0.2804395353828261
235,0.03217839086050845
236,0.020915587911794792
237,0.019270653619873068
238,0.2804395353828262
239,0.13916850609989068
240,0.08535954848077346
241,0.2804395353828261
242,0.03217839086050847
243,0.013092308225929295
244,0.01584037418759067
245,0.009794385484704583
246,0.18557237555161885
247,0.2804395353828261
248,0.04668495905207191
249,0.014209861744665698
250,0.0564840979570413
251,0.019270653619873065
252,0.06871589483118679
253,0.032178390860508464
254,0.034925123775199296
255,0.2804395353828262
256,0.2804395353828262
257,0.0039850070255282866
258,0.039028351190575315
259,0.05648409795704131
260,0.2804395353828261
261,0.009794385484704602
262,0.3715097173529846
263,0.05648409795704137
264,0.17704180304447997
265,0.25354754260460566
266,0.1639868789557912
267,0.28419274767168695
268,0.0690878212251164
269,0.014607138843070999
270,1.0
271,0.1109018175762888
272,0.34404392504109954
273,0.09078970540561146
274,0.0015336040748897075
275,0.20081104823130677
276,0.0005276271653842599
277,0.042457191596468366
278,0.17704180304447986
279,0.07618256656254051
280,0.22143267477674428
281,0.003402327865186312
282,0.0765057395601258
283,0.34404392504109993
284,0.07650573956012584
285,0.09777478837718216
286,0.22237201122207428
287,0.03815509661313846
288,0.003929955030570611
289,0.018009466708257413
290,0.08677723279241796
291,0.13425781243797572
292,0.3440439250410997
293,0.39023450979969276
294,0.17554091317540502
295,0.0765057395601259
296,0.6173596265936868
297,0.07650573956012605
298,0.1755409131754051
299,0.0034023278651863576
300,0.4766451810948305
301,0.3902345097996927
302,0.009889225234189615
303,0.17704180304447978
304,0.13425781243797572
305,0.5145906965900645
306,0.5102282016880103
307,0.029855179774108728
308,0.2804231296560595
309,0.06833053947897
310,0.3677616235809115
311,0.02528768968097847
312,0.4571033610212802
313,0.07300048413139193
314,0.0181601360597127
315,0.27253027692446347
316,0.41657024780475044
317,0.018160136059712707
318,0.3661565645274259
319,0.21434383795798992
320,0.15252993082052602
321,0.1831415262242046
322,0.13726335086729463
323,0.15137487953257672
324,0.41657024780475027
325,0.16008027177192063
326,0.14483188400670458
327,0.060704502576071996
328,0.4396413982739461
329,0.06033265381070181
330,0.695172954627622
331,0.2693458634315344
332,0.05717982808529937
333,0.043594414520511805
334,0.2151486358657327
335,0.10990986835266336
336,1.0
337,0.28958836997638865
338,0.057179828085299374
339,0.07893239088761923
340,0.8722420509534184
341,0.09550554110421698
342,0.18948158516739624
343,0.12043683792504625
344,0.6542240555120027
345,0.3633837998039821
346,0.4257288275926411
347,0.039784766924510585
348,0.3792128905338307
349,0.2638447391091139
350,0.030409829764480843
351,0.0892892656935813
352,0.08176299349504079
353,0.01083652465630864
354,0.1325358110447111
355,0.21272599798599728
356,0.034421391874772146
357,0.2790239633656518
358,0.033479653944391084
359,1.0
360,0.0817629934950408
361,0.3236749302817722
362,0.24164859755710025
363,0.005498792303669286
364,0.23762040962262568
365,0.09259951815134947
366,0.3615532198522919
367,0.3236749302817722
368,0.13253581104471104
369,0.32367493028177224
370,0.08176299349504085
371,0.09031306188932102
372,0.0022516013121522947
373,0.1095647478389328
374,0.0007287868977332933
375,0.0025956129841670393
376,0.08176299349504086
377,0.3236749302817723
378,0.11702571322884085
379,0.0008401348516886947
380,0.657221113173055
381,0.3665734496815072
382,0.016988625899702483
383,0.07691176951812952
384,0.006227579201402488
385,0.0008401348516887141
386,0.09031306188932095
387,0.4094719690812422
388,0.132535811044711
389,0.09031306188932095
390,0.04289851939973498
391,0.2526083605667661
392,0.08176299349504082
393,0.006338927155357975
394,0.08935693458225091
395,0.3385024219934245
396,0.5703309241113026
397,0.13926370817195413
398,0.8461807340731574
399,0.018528082958951236
400,0.047790570249710465
401,0.011394760927161789
402,0.1291517403266392
403,0.20337093041496188
404,0.33662083224378386
405,0.01769464989851551
406,0.3016147318487482
407,0.028643584241842244
408,0.014033083939181946
409,0.12013356257876504
410,0.04657497497902707
411,0.6994267106483999
412,0.05137810938475921
413,0.06990619234371032
414,1.0
415,0.14762626265801684
416,0.017694649898515418
417,0.006632085388632069
418,0.03880559148140717
419,0.0026383230120202274
420,0.07642214556929813
421,0.433669558750356
422,0.2946734235069805
423,0.13815498224414793
424,0.30161473184874854
425,0.09754756907647238
426,0.3366208322437841
427,0.17251894531165132
428,0.4538454499487634
429,0.30161473184874854
430,0.2064046441952812
431,0.3472871346433902
432,0.08090339225870262
433,0.301168614443614
434,0.39781197879965174
435,0.04779057024971025
436,0.7581841370358774
437,0.3016147318487486
438,0.044479932333628604
439,0.055400771322862204
440,0.3592614556358425
441,0.055863381878229194
442,0.055809295667537465
443,0.010275925478424206
444,0.5322842794224465
445,0.01027592547842494
446,0.2164672555264919
447,0.19526207149724434
448,0.16907632310804063
449,0.213913670236753
450,0.1952620714972444
451,0.014448647512449722
452,0.49020822658816826
453,0.0037695993908477177
454,1.0
455,0.052379245842667864
456,0.5466649242423024
457,0.5621000170197245
458,0.12357109503779126
459,0.18955271205462218
460,0.26716760162331343
461,0.231214836560279
462,0.3668379455224804
463,0.06202361100544912
464,0.024242566754584017
465,0.09800721408966488
466,0.028012166145430645
467,0.15228354252901538
468,0.09800721408966508
469,0.336854724398238
470,0.3668379455224804
471,0.1427857899707323
472,0.09292029882127348
473,0.03595276506303476
474,0.36683794552248
475,0.010275925478424265
476,0.062023611005449016
477,0.08034749632846624
478,0.09800721408966488
479,0.09988137065396445
480,0.039387003685976196
481,0.2190272225356318
482,0.5167205693092781
483,0.1235710950377912
484,0.4021789698408705
485,0.042887452468655496
486,0.0007860844226206919
487,0.005490807317100742
488,0.1617059669069653
489,0.10256971571810983
490,0.08084481940538973
491,0.34522620884238153
492,0.3452262088423816
493,0.0019550708569669446
494,0.9802007299341365
495,0.01157404540243448
496,0.25510117773275304
497,0.01365618890029443
498,0.1217703382247691
499,0.056952760998488956
500,0.019944491549066575
501,0.019944491549066683
502,0.34522620884238153
503,0.43039139559959555
504,0.019944491549066676
505,0.3521995018975129
506,0.024020864574743315
507,1.0
508,0.02276884077070725
509,0.00407637302567655
510,0.2551011777327531
511,0.2912261805184408
512,0.0284735051255726
513,0.015590048502392526
514,0.7243087408084563
515,0.34522620884238153
516,0.056628392265219187
517,0.3521995018975129
518,0.00027685854209645827
519,0.034217315263003714
520,0.038774015371175495
521,0.019944491549066645
522,0.008019174378226761
523,0.040524826517472336
524,0.255101177732753
525,0.22201023363410538
526,0.004764948007674654
527,0.07819189370208252
528,0.14107416390818983
529,0.30771741027872074
530,0.27983836997850775
531,0.024601091148639457
532,0.17648044650560746
533,0.5453727781195902
534,0.10887362053212436
535,0.024601091148639568
536,0.0894543243963524
537,0.18419482773099002
538,0.21708616399280498
539,0.14107416390818975
540,0.4584536304930217
541,0.06412190384510147
542,0.3031144047719681
543,1.0
544,0.031478020443477944
545,0.024601091148639585
546,0.018271514830864803
547,0.05488616514385277
548,0.007108696253467498
549,0.0398546627522953
550,0.2299248633806358
551,0.40177417186751546
552,0.03952081269646189
553,0.07166264504722467
554,0.508779153841099
555,0.08445931357855728
556,0.5015226144754797
557,0.08554316827741384
558,0.08416710901699943
559,0.06323229826546187
560,0.10158052750657495
561,0.05488616514385256
562,0.10887362053212421
563,0.024601091148639457
564,0.19512185845306296
565,0.15745018273066602
566,0.5841808018012752
567,0.08090810141152524
568,0.17836548505376656
569,0.06866129603909227
570,0.2198720007339654
571,0.47351825692676913
572,0.37081981015798243
573,0.05403562434017128
574,0.2634863771811125
575,0.7105509737164746
576,0.015372128406792352
577,0.34718196425623626
578,0.225704195898989
579,0.19674697044330683
580,0.4437774843869273
581,0.26148076010800597
582,0.03731682495397383
583,0.07744902117219774
584,1.0
585,0.0035980587182286553
586,0.035821932799237934
587,0.0024954220768862727
588,0.007034521188361868
589,0.42993966644179693
590,0.08679549217407635
591,0.03582193279923793
592,0.15943014548933362
593,0.013156712400109153
594,0.14571935711080275
595,0.07003502861353762
596,0.006729473476141959
597,0.3708198101579822
598,0.0013342314508308572
599,0.015652134476995434
600,0.01383781794513116
601,0.11328324511720493
602,0.18886539147868098
603,0.062278233830286335
604,0.14485342640213572
605,0.03011083684134583
606,0.30549404862955476
607,0.3708198101579822
608,0.08120072341474341
609,0.09660199325374876
610,0.034419921065527055
611,0.06687123247928271
612,0.0013342314508308583
613,0.035480068862836424
614,0.02309400284592152
615,0.028719631327996008
616,0.1573573978541606
617,0.34434715302346347
618,1.0
619,0.013499259032363868
620,0.013807063812583188
621,0.4304011582242492
622,0.2807320182859748
623,0.14820741349252164
624,0.20466792838714207
625,0.3711215031041423
626,0.05839871401619278
627,0.37112150310414227
628,0.005124098275580854
629,0.2807320182859749
630,0.3711215031041421
631,0.28073201828597494
632,0.4164163976150972
633,0.01862492227978945
634,0.19134738858506517
635,0.05500295806652188
636,0.08451238949910567
637,0.20669750979586374
638,0.7564423401443202
639,0.018624922279789242
640,0.03207952290265205
641,0.011905400758496325
642,0.05018551100921411
643,0.01862492227978938
644,0.3711215031041423
645,0.7796481544098174
646,0.07101313046674178
647,0.05882878505329004
648,0.0977892963550146
649,0.07101313046674165
650,0.1597311247779473
651,0.018624922279789322
652,0.03269183840725025
653,0.03637423032471373
654,0.060726943100886395
655,0.3656063531598908
656,0.022537074402520615
657,0.030564133602015067
658,0.0823561376701973
659,0.08808931342918339
660,0.08467765583426877
661,0.036755973991425675
662,0.04147631235794523
663,0.07898257368673128
664,0.2362613329914023
665,0.015610157764871643
666,0.0027659034241678945
667,0.06217138695663837
668,0.4189793914873278
669,0.08467765583426866
670,0.14658212102526752
671,0.1258188719763317
672,0.33430173565305915
673,0.04669481519255978
674,0.1060055820486724
675,0.03989660038857903
676,0.0027659034241677006
677,0.01645140902955057
678,0.08467765583426867
679,0.032648212697751054
680,0.37636320293265685
681,0.0133375027565585
682,0.3343017356530594
683,0.008273673538561297
684,0.015610157764871482
685,0.04093758466030106
686,0.0184427971192973
687,0.0846776558342685
688,0.3964731226096974
689,0.41328430933979027
690,0.09766091292937135
691,0.383304393127513
692,0.25329708704278997
693,0.055168116561732046
694,0.33430173565305915
695,0.0027659034241679175
696,1.0
697,0.10845833466135232
698,0.01228758590095255
699,0.005218502834614651
700,0.015610157764871676
701,0.01228758590095231
702,0.03675597399142585
703,0.18597386829352328
704,0.2914287029620014
705,0.26955354191940917
706,0.06374466529944017
707,0.14626223522737652
708,0.26955354191940945
709,0.09775585745871596
710,0.09775585745871601
711,0.4625583895032787
712,0.06124165815528398
713,0.19794265552415494
714,0.5600416319985528
715,0.2965326871428154
716,0.7703910107809749
717,0.27996984748624565
718,0.2695535419194088
719,0.36341266132172234
720,0.22806260098846506
721,1.0
722,0.12400624125340974
723,0.26955354191940933
724,0.3412270799878096
725,0.26899408816187287
726,0.3551733682614417
727,0.31057015837746843
728,0.16809957534607603
729,0.815966857247996
730,0.5446773780644949
731,0.2765818706616092
732,0.7417285378529482
733,0.11286512778306418
734,0.279969847486246
735,0.06374466529943998
736,0.27996984748624565
737,0.17540573591355452
738,0.2370267299193692
739,0.1005133536904755
740,0.12400624125340966
741,0.8019222607767257
742,0.082880836773172
743,0.29653268714281594
744,0.2799698474862456
745,0.02225599397396687
746,0.10051335369047575
747,0.6522247437866079
748,0.0021168603883176458
749,0.30520738421733934
750,0.13869497480649332
751,0.05074400278786476
752,0.0006460814218718364
753,0.0012958621599174892
754,0.004245841440699713
755,0.0008966561436090264
756,0.0012958621599175033
757,0.001978380084141668
758,0.0006460814218717874
759,0.06021157311028378
760,0.0041009094623022675
761,0.3860326580560629
762,0.003454828040430443
763,0.11447941706684574
764,0.3052073842173394
765,0.00027366607613343375
766,0.011319608302694843
767,0.3750873110767348
768,0.14700081558096428
769,0.01837701672860087
770,0.006482084597051706
771,0.003454828040430424
772,0.3052073842173395
773,0.00027366607613329806
774,0.02183184476903113
775,0.30520738421733923
776,0.10272008196269758
777,0.30520738421733945
778,0.01837701672860078
779,0.005878268386583138
780,0.014246759179937295
781,0.336558311739765
782,0.046678946567662694
783,0.0002736660761333669
784,0.11782001778775752
785,0.01925991535773972
786,0.0006460814218718325
787,0.04486573440128159
788,0.11447941706684574
789,0.3052073842173394
790,1.0
791,0.34753811468211904
792,0.3721450616903813
793,0.009819989985319555
794,0.03539701940723186
795,0.043542610978540466
796,0.0682589559086884
797,0.5391819948956734
798,0.0017812838375977132
799,0.5832127540356873
800,0.37214506169038125
801,0.4482942628301384
802,0.027526853251109516
803,0.031064390860332705
804,0.035397019407231875
805,0.35012535694147157
806,0.015214920431978257
807,0.13029742255835078
808,0.0410872762959405
809,0.20065391675279323
810,0.3721450616903813
811,0.0047865309014358355
812,0.0475411514750722
813,0.043542610978540466
814,0.06372409093244147
815,0.02540223335755989
816,0.10155143449731675
817,0.007518151491343116
818,0.015290426971842555
819,0.0254022333575599
820,0.010243982501276186
821,0.001781283837597662
822,0.21703974632922807
823,0.2273201419680565
824,0.11700440355370699
825,0.04754115147507223
826,0.001781283837597757
827,0.20462236095211656
828,0.24819506822786544
829,1.0
830,0.14370769341461734
831,0.0036544607788856257
832,0.0027978429505434972
833,0.0027978429505434227
834,0.1277489784739523
835,0.0951161873449275
836,0.07651953394804986
837,0.3491728278627448
838,0.3491728278627448
839,0.030428426430041216
840,0.18871672989961602
841,0.14873268767043651
842,0.3491728278627445
843,0.19223420659056936
844,0.12964842635302962
845,0.8040779602661158
846,0.05193341314951266
847,0.010624779703990943
848,0.060819712966225646
849,0.012065609836544606
850,0.41525170623520236
851,0.4617731225970007
852,0.5505417124442856
853,0.07255395259495835
854,0.2401714722605634
855,0.16123862704820452
856,0.013947351512101736
857,0.0006792956118717839
858,0.1922342065905694
859,0.025449574272732336
860,0.0838613521411797
861,0.14499461254097543
862,0.010074156534965016
863,0.3260318828658695
864,0.16123862704820463
865,0.19223420659056936
866,0.004870036168676283
867,0.02620342255354376
868,1.0
869,0.004212983106514898
870,0.0019454423645437892
871,0.0750442773967624
872,0.00487003616867628
873,0.004892278718386685
874,0.028851490525846808
875,0.05193341314951265
876,0.2807621752082273
877,0.04526970765764214
878,0.030203904968877402
879,0.2807621752082274
880,0.0004444032400739581
881,0.00017704384168980517
882,2.9858990024018918e-06
883,0.30640792255211025
884,0.01252253648120121
885,0.0004051897385887007
886,0.2752137314957284
887,0.27521373149572853
888,0.0004444032400739703
889,0.02456692909979488
890,0.0001770438416897777
891,0.00019155252779951213
892,0.031194191056381826
893,0.00017704384168982422
894,0.010314831288027057
895,0.0011369098725010267
896,0.2752137314957284
897,0.29978066059552333
898,0.0004444032400739487
899,0.11334532941669748
900,0.27521373149572836
901,0.0367632843995275
902,0.27521373149572853
903,0.010117760681632604
904,0.0001215414018696016
905,0.2752137314957284
906,0.0003717398758488845
907,5.271788595317328e-05
908,0.08926491046169387
909,1.0
910,0.0038907772328566135
911,0.03747934825769131
912,0.2752137314957285
913,0.004131007077016847
914,0.2752137314957285
915,0.2752137314957285
916,0.27521373149572836
917,0.2752137314957285
918,1.084938235522443e-05
919,0.0006432958149565453
920,0.00135073157079988
921,0.010117760681632587
922,3.643576174215537e-05
923,0.0016147567843315634
924,0.41005278479497614
925,0.014644512260977295
926,0.09787149617644157
927,0.05574875316722604
928,0.029708701646744454
929,0.05118263029230126
930,0.08004661768281576
931,0.02678814499987133
932,0.3576124901472733
933,0.4100527847949762
934,0.3576124901472734
935,0.25092198580518055
936,0.0649649752625356
937,0.06532852840705622
938,0.5457673823349334
939,0.3576124901472734
940,0.02285993148506878
941,0.14312316180909473
942,0.3576124901472735
943,0.06496497526253564
944,0.22383619109570457
945,0.27521985032077045
946,0.06816279452969717
947,0.06392375019019737
948,0.012182135842890473
949,0.023232286575991162
950,0.05665681940828044
951,0.056656819408280504
952,0.034065185580832706
953,0.01679198350176461
954,0.05665681940828034
955,0.08004661768281575
956,0.029708701646744426
957,0.04095078517796294
958,0.08307512311583365
959,0.15843076226154182
960,0.1466399974623554
961,0.14663999746235534
962,1.0
963,0.02323228657599129
964,0.006005023034578154
965,0.19060518412437563
966,0.009579775239830245
967,0.1558915158255999
